ID,title,author_ID,genre,publishedAt,pages,price,currency_code,stock,status_code,createdAt,createdBy,modifiedAt,modifiedBy
4165295e-0cd0-4711-8878-cddbf37b7b98,The Last Orchard,28925587-82be-4e62-be39-3c0747d9a910,Literary Fiction,2018-09-18,336,18.99,USD,42,A,2024-01-10T09:15:00.000Z,catalog.admin@example.com,2025-08-18T10:30:00.000Z,catalog.editor@example.com
4165296d-9dc0-4ff7-8086-3719fa944d1d,Quantum Ledger,14360188-d1f4-4144-813a-3f4ba6257c83,Tech Thriller,2022-03-08,384,24.99,USD,16,L,2024-01-12T10:00:00.000Z,catalog.admin@example.com,2025-08-20T12:15:00.000Z,catalog.editor@example.com
4165297b-4c9b-4b8e-9797-8ef0fcebde3d,Quiet Algorithms,14360189-3156-458e-ae24-a528c2e9ffa3,Business,2021-11-02,288,29.99,USD,0,U,2024-01-15T08:30:00.000Z,catalog.admin@example.com,2025-07-02T09:45:00.000Z,catalog.editor@example.com
41652985-80a9-4734-acbc-2cda7fe0e43e,Atlas of Small Machines,14360190-40da-49b8-bd4f-39ce7c46e8f1,Science,2019-05-14,312,21.50,EUR,27,A,2024-01-19T13:20:00.000Z,catalog.admin@example.com,2025-06-11T14:50:00.000Z,catalog.editor@example.com
41652991-b8e8-4820-ac33-6f2a815ba94a,The Harbour at Dusk,14360191-aff1-48c4-99ef-576598da8a4e,Mystery,2017-10-03,352,16.99,GBP,8,L,2024-02-02T11:10:00.000Z,catalog.admin@example.com,2025-05-29T16:25:00.000Z,catalog.editor@example.com
4165300c-2559-4663-bfe0-6bb921e9cdfe,Designing for Trust,14360192-2f6e-41c2-8c51-6d8b4f72900c,Design,2023-06-20,264,34.00,USD,33,A,2024-02-07T15:35:00.000Z,catalog.admin@example.com,2025-07-17T10:05:00.000Z,catalog.editor@example.com
41653019-4a40-41c8-a82f-94c140bda8c9,Northbound Letters,14360193-b818-4a81-88d5-fcfcbc12d40d,Historical Fiction,2016-01-12,416,19.95,CAD,5,L,2024-02-14T09:05:00.000Z,catalog.admin@example.com,2025-04-21T12:40:00.000Z,catalog.editor@example.com
4165302a-139c-4186-8089-0e4df136b64b,Practical Cloud Patterns,14360194-2003-49d7-8c67-7673234005c1,Technology,2024-02-27,328,44.95,USD,61,A,2024-03-01T08:45:00.000Z,catalog.admin@example.com,2025-08-05T11:55:00.000Z,catalog.editor@example.com
41653036-f065-4b3c-ad03-942aee222b85,The Greenhouse Season,14360195-3025-41b2-a427-5acacec07c4c,Young Adult,2020-07-07,304,14.99,USD,0,U,2024-03-09T14:10:00.000Z,catalog.admin@example.com,2025-06-02T09:20:00.000Z,catalog.editor@example.com
41653044-b1b3-45af-a929-d0409d4925ff,Riverlight Economics,14360196-13b5-4968-a873-c780f89c7075,Economics,2015-04-21,368,39.50,EUR,24,A,2024-03-16T10:55:00.000Z,catalog.admin@example.com,2025-05-12T13:35:00.000Z,catalog.editor@example.com
4165305a-9c8e-4b1d-8c3e-2f0a7e5b9c1d,The Silent Code,14360197-7f6e-4c9b-9a2d-1e5b8f3a2c4e,Thriller,2021-02-11,320,22.99,USD,12,L,2024-03-22T09:30:00.000Z,catalog.admin@example.com,2025-07-28T11:40:00.000Z,catalog.editor@example.com
